Frame Processed | Processing Time: 0.42s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 0.00%
Analyzed Gesture Pattern: Index, Middle
Frame Processed | Processing Time: 0.25s | Detection Accuracy: 1.14%
Analyzed Gesture Pattern: Index, Middle
Frame Processed | Processing Time: 0.26s | Detection Accuracy: 2.25%
Analyzed Gesture Pattern: Index, Middle, Ring
Frame Processed | Processing Time: 0.25s | Detection Accuracy: 3.33%
Analyzed Gesture Pattern: Index, Middle
Frame Processed | Processing Time: 0.25s | Detection Accuracy: 4.40%
Analyzed Gesture Pattern: Index, Middle
Frame Processed | Processing Time: 0.26s | Detection Accuracy: 5.43%
Analyzed Gesture Pattern: Index, Middle
Frame Processed | Processing Time: 0.26s | Detection Accuracy: 6.45%
Analyzed Gesture Pattern: Index, Middle
Frame Processed | Processing Time: 0.25s | Detection Accuracy: 7.45%
Analyzed Gesture Pattern: Thumb, Index, Middle, Ring, Pinky
Frame Processed | Processing Time: 0.36s | Detection Accuracy: 8.42%
Frame Processed | Processing Time: 0.05s | Detection Accuracy: 8.33%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 8.25%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 8.16%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 8.08%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 8.00%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 7.92%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 7.84%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 7.77%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 7.69%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 7.62%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 7.55%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 7.48%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 7.41%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 7.34%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 7.27%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 7.21%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 7.14%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 7.08%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 7.02%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 6.96%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 6.90%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 6.84%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 6.78%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 6.72%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 6.67%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 6.61%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 6.56%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 6.50%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 6.45%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 6.40%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 6.35%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 6.30%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 6.25%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 6.20%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 6.15%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 6.11%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 6.06%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 6.02%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 5.97%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 5.93%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 5.88%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 5.84%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 5.80%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 5.76%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 5.71%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 5.67%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 5.63%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 5.59%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 5.56%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 5.52%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 5.48%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 5.44%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 5.41%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 5.37%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 5.33%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 5.30%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 5.26%
Frame Processed | Processing Time: 0.03s | Detection Accuracy: 5.23%

